Datetime,Concentration
2022-01-18,5.65
2022-01-19,9.208333333333334
2022-01-20,3.25
2022-01-21,6.916666666666667
2022-01-22,10.875
2022-01-23,3.1666666666666665
2022-01-24,9.333333333333334
2022-01-25,5.833333333333333
2022-01-26,5.083333333333333
2022-01-27,14.333333333333334
2022-01-28,5.125
2022-01-29,6.166666666666667
2022-01-30,14.166666666666666
2022-01-31,24.458333333333332
2022-02-01,17.625
2022-02-02,12.125
2022-02-03,1.6666666666666667
2022-02-04,2.625
2022-02-05,4.958333333333333
2022-02-06,9.625
2022-02-07,19.75
2022-02-08,11.782608695652174
2022-02-09,13.375
2022-02-10,8.583333333333334
2022-02-11,8.666666666666666
2022-02-12,4.958333333333333
2022-02-13,3.5833333333333335
2022-02-14,3.75
2022-02-15,14.333333333333334
2022-02-16,14.583333333333334
2022-02-17,9.208333333333334
2022-02-18,1.7083333333333333
2022-02-19,2.9583333333333335
2022-02-20,5.291666666666667
2022-02-21,9.666666666666666
2022-02-22,7.833333333333333
2022-02-23,5.25
2022-02-24,3.7916666666666665
2022-02-25,1.9166666666666667
2022-02-26,10.583333333333334
2022-02-27,6.208333333333333
2022-02-28,3.5416666666666665
2022-03-01,12.625
2022-03-02,6.541666666666667
2022-03-03,3.0
2022-03-04,9.833333333333334
2022-03-05,12.833333333333334
2022-03-06,7.291666666666667
2022-03-07,3.0
2022-03-08,4.541666666666667
2022-03-09,16.166666666666668
2022-03-10,5.75
2022-03-11,6.541666666666667
2022-03-12,2.0416666666666665
2022-03-13,7.2272727272727275
2022-03-14,17.583333333333332
2022-03-15,13.166666666666666
2022-03-16,16.416666666666668
2022-03-17,18.166666666666668
2022-03-18,11.291666666666666
2022-03-19,7.958333333333333
2022-03-20,2.5833333333333335
2022-03-21,3.5416666666666665
2022-03-22,3.5416666666666665
2022-03-23,3.0416666666666665
2022-03-24,6.666666666666667
2022-03-25,6.25
2022-03-26,6.333333333333333
2022-03-27,1.7083333333333333
2022-03-28,1.1666666666666667
2022-03-29,2.375
2022-03-30,4.291666666666667
2022-03-31,6.958333333333333
2022-04-01,1.625
2022-04-02,7.0
2022-04-03,5.875
2022-04-04,8.416666666666666
2022-04-05,7.708333333333333
2022-04-06,6.75
2022-04-07,7.5
2022-04-08,7.166666666666667
2022-04-09,6.708333333333333
2022-04-10,1.8333333333333333
2022-04-11,6.416666666666667
2022-04-12,7.583333333333333
2022-04-13,9.0
2022-04-14,6.217391304347826
2022-04-15,5.125
2022-04-16,3.5833333333333335
2022-04-17,2.5833333333333335
2022-04-18,4.625
2022-04-19,5.166666666666667
2022-04-20,4.708333333333333
2022-04-21,5.166666666666667
2022-04-22,8.333333333333334
2022-04-23,5.875
2022-04-24,8.25
2022-04-25,7.458333333333333
2022-04-26,4.666666666666667
2022-04-27,2.3333333333333335
2022-04-28,4.0
2022-04-29,6.166666666666667
2022-04-30,5.863636363636363
2022-05-01,3.7916666666666665
2022-05-02,12.833333333333334
2022-05-03,12.833333333333334
2022-05-04,3.7083333333333335
2022-05-05,5.458333333333333
2022-05-06,6.458333333333333
2022-05-07,5.708333333333333
2022-05-08,6.458333333333333
2022-05-09,7.083333333333333
2022-05-10,7.458333333333333
2022-05-11,11.272727272727273
2022-05-12,
2022-05-13,7.708333333333333
2022-05-14,7.541666666666667
2022-05-15,6.291666666666667
2022-05-16,5.25
2022-05-17,3.3333333333333335
2022-05-18,5.708333333333333
2022-05-19,9.25
2022-05-20,9.125
2022-05-21,9.041666666666666
2022-05-22,6.333333333333333
2022-05-23,9.083333333333334
2022-05-24,7.458333333333333
2022-05-25,4.333333333333333
2022-05-26,6.041666666666667
2022-05-27,6.2272727272727275
2022-05-28,4.291666666666667
2022-05-29,6.083333333333333
2022-05-30,10.166666666666666
2022-05-31,11.708333333333334
2022-06-01,9.0
2022-06-02,4.625
2022-06-03,5.0
2022-06-04,4.625
2022-06-05,7.25
2022-06-06,6.583333333333333
2022-06-07,6.0
2022-06-08,4.75
2022-06-09,4.791666666666667
2022-06-10,3.4583333333333335
2022-06-11,6.208333333333333
2022-06-12,7.375
2022-06-13,5.208333333333333
2022-06-14,5.791666666666667
2022-06-15,5.166666666666667
2022-06-16,13.291666666666666
2022-06-17,6.375
2022-06-18,4.083333333333333
2022-06-19,4.125
2022-06-20,5.333333333333333
2022-06-21,11.875
2022-06-22,15.375
2022-06-23,3.8333333333333335
2022-06-24,5.666666666666667
2022-06-25,9.458333333333334
2022-06-26,11.375
2022-06-27,4.416666666666667
2022-06-28,5.083333333333333
2022-06-29,6.625
2022-06-30,7.916666666666667
2022-07-01,12.25
2022-07-02,6.458333333333333
2022-07-03,3.25
2022-07-04,6.083333333333333
2022-07-05,7.090909090909091
2022-07-06,2.7916666666666665
2022-07-07,4.875
2022-07-08,5.583333333333333
2022-07-09,2.5416666666666665
2022-07-10,6.833333333333333
2022-07-11,8.458333333333334
2022-07-12,4.75
2022-07-13,5.375
2022-07-14,3.6666666666666665
2022-07-15,6.458333333333333
2022-07-16,9.666666666666666
2022-07-17,8.791666666666666
2022-07-18,3.1666666666666665
2022-07-19,8.041666666666666
2022-07-20,8.75
2022-07-21,9.583333333333334
2022-07-22,9.0
2022-07-23,5.75
2022-07-24,4.541666666666667
2022-07-25,1.7083333333333333
2022-07-26,4.041666666666667
2022-07-27,7.75
2022-07-28,9.0
2022-07-29,1.9583333333333333
2022-07-30,2.1666666666666665
2022-07-31,6.541666666666667
2022-08-01,9.25
2022-08-02,3.375
2022-08-03,4.739130434782608
2022-08-04,
2022-08-05,5.125
2022-08-06,5.416666666666667
2022-08-07,9.619047619047619
2022-08-08,
2022-08-09,0.8333333333333334
2022-08-10,5.166666666666667
2022-08-11,2.7083333333333335
2022-08-12,2.5
2022-08-13,6.125
2022-08-14,6.375
2022-08-15,4.791666666666667
2022-08-16,5.958333333333333
2022-08-17,4.833333333333333
2022-08-18,5.541666666666667
2022-08-19,9.083333333333334
2022-08-20,10.916666666666666
2022-08-21,5.5
2022-08-22,3.9583333333333335
2022-08-23,5.541666666666667
2022-08-24,6.541666666666667
2022-08-25,7.083333333333333
2022-08-26,6.25
2022-08-27,3.0
2022-08-28,4.5
2022-08-29,6.5
2022-08-30,7.125
2022-08-31,4.333333333333333
2022-09-01,1.5
2022-09-02,6.875
2022-09-03,8.166666666666666
2022-09-04,5.083333333333333
2022-09-05,1.9166666666666667
2022-09-06,3.375
2022-09-07,3.2916666666666665
2022-09-08,3.7916666666666665
2022-09-09,6.833333333333333
2022-09-10,9.625
2022-09-11,5.583333333333333
2022-09-12,3.875
2022-09-13,5.291666666666667
2022-09-14,6.25
2022-09-15,1.2916666666666667
2022-09-16,6.333333333333333
2022-09-17,9.625
2022-09-18,10.666666666666666
2022-09-19,9.5
2022-09-20,4.458333333333333
2022-09-21,7.333333333333333
2022-09-22,0.125
2022-09-23,0.9166666666666666
2022-09-24,2.9583333333333335
