Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,5/25/2021,30,29,22,20,12,8,9,9,9,8,8,9,11,15,22,21,19,17,15,14,13,13,12,13
34021,Fine Particulate Matter,5/26/2021,11,11,10,10,10,11,10,10,9,8,8,7,8,6,6,6,7,7,6,7,5,3,2,2
34021,Fine Particulate Matter,5/27/2021,1,1,1,2,2,2,1,1,1,2,2,2,2,2,3,9999,9999,9999,9999,9999,9999,9999,9999,9999
34021,Fine Particulate Matter,5/28/2021,9999,6,6,5,5,5,4,5,7,8,7,6,6,7,8,11,9,7,8,9,10,12,3,2
34021,Fine Particulate Matter,5/29/2021,3,3,5,2,3,3,4,7,5,5,6,7,7,9,9,9,14,10,12,19,34,26,14,6
34021,Fine Particulate Matter,5/30/2021,4,4,3,3,3,4,4,4,5,5,6,6,7,7,7,7,10,8,8,6,9,11,7,6
34021,Fine Particulate Matter,5/31/2021,7,7,7,6,6,8,9,10,11,15,14,11,17,17,14,12,10,11,8,9,14,12,10,9
34021,Fine Particulate Matter,6/1/2021,10,10,8,6,7,7,9,11,10,8,6,6,6,6,6,6,7,7,7,10,12,9,10,9
34021,Fine Particulate Matter,6/2/2021,7,8,9,11,12,11,12,17,13,9,8,7,6,5,4,4,6,9,10,12,9,8,5,3
34021,Fine Particulate Matter,6/3/2021,4,5,6,5,6,7,6,6,5,5,6,7,7,7,10,9,11,11,10,10,9,11,10,12
34021,Fine Particulate Matter,6/4/2021,12,14,14,12,10,10,10,8,9,9,10,10,10,10,10,10,8,9,8,9,7,8,9,9
34021,Fine Particulate Matter,6/5/2021,9,10,11,11,10,8,7,6,6,6,7,8,7,7,7,6,7,8,8,11,13,12,11,11
34021,Fine Particulate Matter,6/6/2021,12,13,13,13,13,13,11,11,11,16,17,16,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,15
34021,Fine Particulate Matter,6/7/2021,15,16,15,14,15,16,15,14,10,27,28,24,22,20,18,15,13,10,10,9,9,9,7,7
34021,Fine Particulate Matter,6/8/2021,7,7,6,6,6,6,7,6,8,14,12,8,7,8,7,7,7,7,7,6,9,9,9,10
34021,Fine Particulate Matter,6/9/2021,8,9,9,9,10,10,10,9,10,10,10,12,15,15,15,13,12,12,11,11,10,10,9,11
34021,Fine Particulate Matter,6/10/2021,9,10,9,8,6,4,4,5,5,5,5,6,6,6,6,6,7,7,7,12,7,6,5,4
34021,Fine Particulate Matter,6/11/2021,6,6,7,8,9,10,9,6,6,8,8,10,10,9,9,9,8,8,7,6,4,3,4,5
34021,Fine Particulate Matter,6/12/2021,4,5,5,4,4,3,3,4,3,4,5,5,4,5,7,6,4,3,9999,9999,9999,9999,9999,6
34021,Fine Particulate Matter,6/13/2021,10,6,5,6,6,4,6,7,7,7,9,12,12,9,7,11,6,5,6,6,6,5,4,4
